Pharmacy,Cluster,Metric,Acquisition_Date,Fiscal_Year,Quarter,Date,Value,Value - old v
Darwen,Darwen,Dispensing Item numbers,01 April 2024,FY2025,Q1,Apr-24,13262,13262
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2025,Q1,May-24,12563,12563
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2025,Q1,Jun-24,11594,11594
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2025,Q2,Jul-24,12427,12427
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2025,Q2,Aug-24,12017,12017
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2025,Q2,Sep-24,11834,11834
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2025,Q3,Oct-24,12687,12687
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2025,Q3,Nov-24,12029,12029
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2025,Q3,Dec-24,11254,11254
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2025,Q4,Jan-25,11922,11922
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2025,Q4,Feb-25,9645,9645
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2025,Q4,Mar-25,12640,12640
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2026,Q1,Apr-25,12029,12029
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2026,Q1,May-25,12394,12394
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2026,Q1,Jun-25,0,0
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2026,Q2,Jul-25,0,0
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2026,Q2,Aug-25,0,0
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2026,Q2,Sep-25,0,0
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2026,Q3,Oct-25,0,0
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2026,Q3,Nov-25,0,0
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2026,Q3,Dec-25,0,0
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2026,Q4,Jan-26,0,0
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2026,Q4,Feb-26,0,0
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2026,Q4,Mar-26,0,0
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2027,Q1,Apr-26,0,0
Darwen,Darwen,Dispensing Item numbers,01 April 2025,FY2027,Q1,May-26,0,0
